architecture,scenario,balancing,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
GraphSAGE,1:1,none,GNNExplainer,0.992,30,0.824,0.457,0.433,nan,0.907,0.0,30,
GraphSAGE,1:1,none,PGExplainer,0.992,30,nan,0.959,nan,nan,nan,nan,30,no
GraphSAGE,1:1,none,GNNShap,0.992,30,0.951,nan,0.2,0.966,nan,nan,30,
GraphSAGE,1:1,class_weighting,GNNExplainer,0.993,30,0.825,0.461,0.4,nan,0.9,0.0,30,
GraphSAGE,1:1,class_weighting,PGExplainer,0.993,30,nan,0.964,nan,nan,nan,nan,30,no
GraphSAGE,1:1,class_weighting,GNNShap,0.993,30,0.953,nan,0.2,0.966,nan,nan,30,
GraphSAGE,1:1,focal_loss,GNNExplainer,0.993,30,0.867,0.47,0.567,nan,0.9,0.0,27,
GraphSAGE,1:1,focal_loss,PGExplainer,0.993,30,nan,0.891,nan,nan,nan,nan,27,no
GraphSAGE,1:1,focal_loss,GNNShap,0.993,30,0.98,nan,0.1,0.97,nan,nan,27,
GraphSAGE,1:10,none,GNNExplainer,0.995,30,0.884,0.461,0.533,nan,0.933,0.0,27,
GraphSAGE,1:10,none,PGExplainer,0.995,30,nan,0.932,nan,nan,nan,nan,27,no
GraphSAGE,1:10,none,GNNShap,0.995,30,0.961,nan,0.133,0.964,nan,nan,27,
GraphSAGE,1:10,class_weighting,GNNExplainer,0.996,30,0.851,0.509,0.6,nan,0.933,0.0,28,
GraphSAGE,1:10,class_weighting,PGExplainer,0.996,30,nan,0.955,nan,nan,nan,nan,28,no
GraphSAGE,1:10,class_weighting,GNNShap,0.996,30,0.966,nan,0.167,0.964,nan,nan,28,
GraphSAGE,1:10,focal_loss,GNNExplainer,0.996,30,0.897,0.488,0.4,nan,0.933,0.0,28,
GraphSAGE,1:10,focal_loss,PGExplainer,0.996,30,nan,0.871,nan,nan,nan,nan,28,no
GraphSAGE,1:10,focal_loss,GNNShap,0.996,30,0.979,nan,0.2,0.969,nan,nan,28,
GraphSAGE,1:50,none,GNNExplainer,0.991,30,0.922,0.481,0.233,nan,1.0,0.0,32,
GraphSAGE,1:50,none,PGExplainer,0.991,30,nan,0.946,nan,nan,nan,nan,32,no
GraphSAGE,1:50,none,GNNShap,0.991,30,0.981,nan,0.233,0.928,nan,nan,32,
GraphSAGE,1:50,class_weighting,GNNExplainer,0.991,30,0.899,0.497,0.467,nan,0.967,0.0,28,
GraphSAGE,1:50,class_weighting,PGExplainer,0.991,30,nan,0.901,nan,nan,nan,nan,28,no
GraphSAGE,1:50,class_weighting,GNNShap,0.991,30,0.969,nan,0.233,0.93,nan,nan,28,
GraphSAGE,1:50,focal_loss,GNNExplainer,0.994,30,0.92,0.493,0.333,nan,1.0,0.0,31,
GraphSAGE,1:50,focal_loss,PGExplainer,0.994,30,nan,0.803,nan,nan,nan,nan,31,no
GraphSAGE,1:50,focal_loss,GNNShap,0.994,30,0.991,nan,0.3,0.932,nan,nan,31,
GraphSAGE,1:100,none,GNNExplainer,0.973,26,0.928,0.536,0.154,nan,1.0,0.0,34,
GraphSAGE,1:100,none,PGExplainer,0.973,26,nan,0.884,nan,nan,nan,nan,34,no
GraphSAGE,1:100,none,GNNShap,0.973,26,0.981,nan,0.0,0.917,nan,nan,34,
GraphSAGE,1:100,class_weighting,GNNExplainer,0.981,30,0.912,0.516,0.533,nan,1.0,0.0,32,
GraphSAGE,1:100,class_weighting,PGExplainer,0.981,30,nan,0.934,nan,nan,nan,nan,32,no
GraphSAGE,1:100,class_weighting,GNNShap,0.981,30,0.974,nan,0.167,0.918,nan,nan,32,
GraphSAGE,1:100,focal_loss,GNNExplainer,0.988,30,0.913,0.503,0.367,nan,1.0,0.0,35,
GraphSAGE,1:100,focal_loss,PGExplainer,0.988,30,nan,0.862,nan,nan,nan,nan,35,no
GraphSAGE,1:100,focal_loss,GNNShap,0.988,30,0.992,nan,0.267,0.925,nan,nan,35,
GraphSAGE,natural,none,GNNExplainer,0.995,30,0.884,0.461,0.533,nan,0.933,0.0,27,
GraphSAGE,natural,none,PGExplainer,0.995,30,nan,0.932,nan,nan,nan,nan,27,no
GraphSAGE,natural,none,GNNShap,0.995,30,0.961,nan,0.133,0.964,nan,nan,27,
GraphSAGE,natural,class_weighting,GNNExplainer,0.996,30,0.852,0.51,0.6,nan,0.933,0.0,28,
GraphSAGE,natural,class_weighting,PGExplainer,0.996,30,nan,0.955,nan,nan,nan,nan,28,no
GraphSAGE,natural,class_weighting,GNNShap,0.996,30,0.966,nan,0.167,0.963,nan,nan,28,
GraphSAGE,natural,focal_loss,GNNExplainer,0.996,30,0.885,0.484,0.333,nan,0.933,0.0,30,
GraphSAGE,natural,focal_loss,PGExplainer,0.996,30,nan,0.864,nan,nan,nan,nan,30,no
GraphSAGE,natural,focal_loss,GNNShap,0.996,30,0.983,nan,0.167,0.971,nan,nan,30,
GAT,1:1,none,GNNExplainer,0.807,30,0.969,0.548,0.5,nan,1.0,0.0,28,
GAT,1:1,none,PGExplainer,0.807,30,nan,0.321,nan,nan,nan,nan,28,no
GAT,1:1,none,GNNShap,0.807,30,0.962,nan,0.033,0.935,nan,nan,28,
GAT,1:1,class_weighting,GNNExplainer,0.807,30,0.969,0.548,0.5,nan,1.0,0.0,28,
GAT,1:1,class_weighting,PGExplainer,0.807,30,nan,0.317,nan,nan,nan,nan,28,no
GAT,1:1,class_weighting,GNNShap,0.807,30,0.962,nan,0.033,0.935,nan,nan,28,
GAT,1:1,focal_loss,GNNExplainer,0.717,30,0.911,0.529,0.233,nan,1.0,0.0,28,
GAT,1:1,focal_loss,PGExplainer,0.717,30,nan,0.46,nan,nan,nan,nan,28,no
GAT,1:1,focal_loss,GNNShap,0.717,30,0.993,nan,0.3,0.938,nan,nan,28,
GAT,1:10,none,GNNExplainer,0.828,30,0.973,0.565,0.667,nan,1.0,0.287,32,
GAT,1:10,none,PGExplainer,0.828,30,nan,0.434,nan,nan,nan,nan,32,no
GAT,1:10,none,GNNShap,0.828,30,0.967,nan,0.167,0.933,nan,nan,32,
