architecture,scenario,balancing,explainer,node,node_typ,spearman,plaus_edge,plaus_feat,shap_conc,fid_plus,fid_minus,sub_n_nodes
GraphSAGE,1:1,none,GNNExplainer,8568,2,0.9452631578947368,0.25,1.0,,1.0,0.0,17
GraphSAGE,1:1,none,GNNExplainer,8147,1,0.9004511278195488,0.5294117647058824,0.0,,1.0,0.0,28
GraphSAGE,1:1,none,GNNExplainer,9119,3,0.8541353383458645,0.5416666666666666,0.0,,1.0,0.0,27
GraphSAGE,1:1,none,GNNExplainer,8265,1,0.8672180451127819,0.5,1.0,,0.4,0.0,34
GraphSAGE,1:1,none,GNNExplainer,9321,4,0.823609022556391,0.5,0.0,,1.0,0.0,32
GraphSAGE,1:1,none,GNNExplainer,9008,3,0.7221052631578947,0.5,0.0,,1.0,0.0,33
GraphSAGE,1:1,none,GNNExplainer,8107,1,0.4825563909774435,0.391304347826087,1.0,,0.0,0.0,83
GraphSAGE,1:1,none,GNNExplainer,8053,1,0.49052631578947353,0.36363636363636365,1.0,,0.0,0.0,83
GraphSAGE,1:1,none,GNNExplainer,9238,4,0.7633082706766917,0.5,0.0,,1.0,0.0,39
GraphSAGE,1:1,none,GNNExplainer,9121,3,0.8921804511278195,0.5,0.0,,1.0,0.0,26
GraphSAGE,1:1,none,GNNExplainer,9405,4,0.699548872180451,0.5555555555555556,0.0,,1.0,0.0,30
GraphSAGE,1:1,none,GNNExplainer,8997,3,0.8293233082706765,0.4666666666666667,0.0,,1.0,0.0,32
GraphSAGE,1:1,none,GNNExplainer,9184,3,0.7147368421052631,0.4375,0.0,,1.0,0.0,35
GraphSAGE,1:1,none,GNNExplainer,8224,1,0.4121804511278195,0.5476190476190477,0.0,,0.8,0.0,36
GraphSAGE,1:1,none,GNNExplainer,8333,1,0.8275187969924811,0.5238095238095238,0.0,,1.0,0.0,33
GraphSAGE,1:1,none,GNNExplainer,8937,3,0.8604511278195488,0.5,0.0,,1.0,0.0,38
GraphSAGE,1:1,none,GNNExplainer,8209,1,0.9293233082706767,0.6590909090909091,0.0,,1.0,0.0,25
GraphSAGE,1:1,none,GNNExplainer,8803,2,0.9354887218045114,0.25,1.0,,1.0,0.0,17
GraphSAGE,1:1,none,GNNExplainer,8825,2,0.9542857142857143,0.625,1.0,,1.0,0.0,26
GraphSAGE,1:1,none,GNNExplainer,8687,2,0.8551879699248118,0.375,1.0,,1.0,0.0,30
GraphSAGE,1:1,none,GNNExplainer,8029,1,0.9693233082706767,0.4090909090909091,0.0,,1.0,0.0,25
GraphSAGE,1:1,none,GNNExplainer,8556,2,0.9314285714285713,0.5,1.0,,1.0,0.0,25
GraphSAGE,1:1,none,GNNExplainer,8226,1,0.8574436090225565,0.5238095238095238,0.0,,1.0,0.0,33
GraphSAGE,1:1,none,GNNExplainer,8604,2,0.8666165413533834,0.375,1.0,,1.0,0.0,20
GraphSAGE,1:1,none,GNNExplainer,9462,4,0.8965413533834585,0.575,0.0,,1.0,0.0,33
GraphSAGE,1:1,none,GNNExplainer,8521,2,0.9076691729323307,0.5,1.0,,1.0,0.0,23
GraphSAGE,1:1,none,GNNExplainer,9442,4,0.9213533834586464,0.3,1.0,,1.0,0.0,30
GraphSAGE,1:1,none,GNNExplainer,9096,3,0.78796992481203,0.5,0.0,,1.0,0.0,34
GraphSAGE,1:1,none,GNNExplainer,8647,2,0.9290225563909773,0.0,1.0,,1.0,0.0,21
GraphSAGE,1:1,none,GNNExplainer,8698,2,0.9070676691729324,0.5,1.0,,1.0,0.0,18
GraphSAGE,1:1,none,PGExplainer,8568,2,,1.0,,,,,17
GraphSAGE,1:1,none,PGExplainer,8147,1,,0.9705882352941176,,,,,28
GraphSAGE,1:1,none,PGExplainer,9119,3,,1.0,,,,,27
GraphSAGE,1:1,none,PGExplainer,8265,1,,0.9473684210526315,,,,,34
GraphSAGE,1:1,none,PGExplainer,9321,4,,0.9411764705882353,,,,,32
GraphSAGE,1:1,none,PGExplainer,9008,3,,1.0,,,,,33
GraphSAGE,1:1,none,PGExplainer,8107,1,,1.0,,,,,83
GraphSAGE,1:1,none,PGExplainer,8053,1,,0.9772727272727273,,,,,83
GraphSAGE,1:1,none,PGExplainer,9238,4,,0.9500000000000001,,,,,39
GraphSAGE,1:1,none,PGExplainer,9121,3,,1.0,,,,,26
GraphSAGE,1:1,none,PGExplainer,9405,4,,0.9444444444444444,,,,,30
GraphSAGE,1:1,none,PGExplainer,8997,3,,1.0,,,,,32
GraphSAGE,1:1,none,PGExplainer,9184,3,,1.0,,,,,35
GraphSAGE,1:1,none,PGExplainer,8224,1,,0.9285714285714286,,,,,36
GraphSAGE,1:1,none,PGExplainer,8333,1,,0.9761904761904762,,,,,33
GraphSAGE,1:1,none,PGExplainer,8937,3,,0.9473684210526315,,,,,38
GraphSAGE,1:1,none,PGExplainer,8209,1,,0.9772727272727273,,,,,25
GraphSAGE,1:1,none,PGExplainer,8803,2,,1.0,,,,,17
GraphSAGE,1:1,none,PGExplainer,8825,2,,0.75,,,,,26
GraphSAGE,1:1,none,PGExplainer,8687,2,,1.0,,,,,30
GraphSAGE,1:1,none,PGExplainer,8029,1,,0.9545454545454546,,,,,25
GraphSAGE,1:1,none,PGExplainer,8556,2,,1.0,,,,,25
GraphSAGE,1:1,none,PGExplainer,8226,1,,0.9523809523809523,,,,,33
GraphSAGE,1:1,none,PGExplainer,8604,2,,0.875,,,,,20
GraphSAGE,1:1,none,PGExplainer,9462,4,,0.9500000000000001,,,,,33
GraphSAGE,1:1,none,PGExplainer,8521,2,,0.8333333333333334,,,,,23
GraphSAGE,1:1,none,PGExplainer,9442,4,,0.9500000000000001,,,,,30
GraphSAGE,1:1,none,PGExplainer,9096,3,,0.9411764705882353,,,,,34
GraphSAGE,1:1,none,PGExplainer,8647,2,,1.0,,,,,21
GraphSAGE,1:1,none,PGExplainer,8698,2,,1.0,,,,,18
GraphSAGE,1:1,none,GNNShap,8568,2,0.9317293233082706,,0.0,0.9740226164886556,,,17
GraphSAGE,1:1,none,GNNShap,8147,1,0.9663157894736839,,0.0,0.9389029127891917,,,28
GraphSAGE,1:1,none,GNNShap,9119,3,0.9266165413533833,,0.0,0.9865463676626641,,,27
GraphSAGE,1:1,none,GNNShap,8265,1,0.9675187969924812,,0.0,0.9674487013258911,,,34
GraphSAGE,1:1,none,GNNShap,9321,4,0.9777443609022555,,0.0,0.9526967669335937,,,32
GraphSAGE,1:1,none,GNNShap,9008,3,0.9670676691729321,,0.0,0.9623501803766785,,,33
GraphSAGE,1:1,none,GNNShap,8107,1,0.8878195488721804,,0.0,0.9960173714147398,,,83
GraphSAGE,1:1,none,GNNShap,8053,1,0.9478195488721802,,0.0,0.9978410029839548,,,83
GraphSAGE,1:1,none,GNNShap,9238,4,0.9276691729323308,,0.0,0.9039170179757747,,,39
GraphSAGE,1:1,none,GNNShap,9121,3,0.9512781954887217,,0.0,0.9935737386601904,,,26
GraphSAGE,1:1,none,GNNShap,9405,4,0.9741353383458644,,0.0,0.9534741734039718,,,30
GraphSAGE,1:1,none,GNNShap,8997,3,0.9378947368421052,,0.0,0.9748062329744449,,,32
GraphSAGE,1:1,none,GNNShap,9184,3,0.9102255639097743,,0.0,0.9774657045485531,,,35
GraphSAGE,1:1,none,GNNShap,8224,1,0.9130827067669172,,0.0,0.945160625122093,,,36
GraphSAGE,1:1,none,GNNShap,8333,1,0.9631578947368421,,0.0,0.9758222030027669,,,33
GraphSAGE,1:1,none,GNNShap,8937,3,0.9685714285714285,,0.0,0.9672897559337678,,,38
GraphSAGE,1:1,none,GNNShap,8209,1,0.9476691729323308,,0.0,0.9832253199965495,,,25
GraphSAGE,1:1,none,GNNShap,8803,2,0.9790977443609021,,1.0,0.9464768772144734,,,17
GraphSAGE,1:1,none,GNNShap,8825,2,0.9097744360902255,,1.0,0.9802428584848839,,,26
GraphSAGE,1:1,none,GNNShap,8687,2,0.9744360902255638,,1.0,0.970215073571054,,,30
GraphSAGE,1:1,none,GNNShap,8029,1,0.9807518796992479,,0.0,0.9555436469449674,,,25
GraphSAGE,1:1,none,GNNShap,8556,2,0.9705263157894736,,0.0,0.96844637653105,,,25
GraphSAGE,1:1,none,GNNShap,8226,1,0.9803007518796992,,0.0,0.9552486060537774,,,33
GraphSAGE,1:1,none,GNNShap,8604,2,0.9658646616541354,,1.0,0.9844414503999263,,,20
GraphSAGE,1:1,none,GNNShap,9462,4,0.9786466165413534,,0.0,0.9649067557259615,,,33
GraphSAGE,1:1,none,GNNShap,8521,2,0.9369924812030076,,1.0,0.9770467540965582,,,23
GraphSAGE,1:1,none,GNNShap,9442,4,0.9730827067669171,,0.0,0.8985720567552888,,,30
GraphSAGE,1:1,none,GNNShap,9096,3,0.9230075187969924,,0.0,0.9845659640627158,,,34
GraphSAGE,1:1,none,GNNShap,8647,2,0.9306766917293231,,0.0,0.988756299334604,,,21
GraphSAGE,1:1,none,GNNShap,8698,2,0.9681203007518796,,1.0,0.9692132339756464,,,18
GraphSAGE,1:1,class_weighting,GNNExplainer,8568,2,0.9497744360902255,0.25,1.0,,1.0,0.0,17
GraphSAGE,1:1,class_weighting,GNNExplainer,8147,1,0.8932330827067668,0.5294117647058824,0.0,,1.0,0.0,28
GraphSAGE,1:1,class_weighting,GNNExplainer,9119,3,0.8569924812030074,0.5416666666666666,0.0,,1.0,0.0,27
GraphSAGE,1:1,class_weighting,GNNExplainer,8265,1,0.8622556390977444,0.5,1.0,,0.4,0.0,34
GraphSAGE,1:1,class_weighting,GNNExplainer,9321,4,0.8156390977443608,0.5,0.0,,1.0,0.0,32
GraphSAGE,1:1,class_weighting,GNNExplainer,9008,3,0.7066165413533834,0.5,0.0,,1.0,0.0,33
GraphSAGE,1:1,class_weighting,GNNExplainer,8107,1,0.4825563909774435,0.391304347826087,1.0,,0.0,0.0,83
GraphSAGE,1:1,class_weighting,GNNExplainer,8053,1,0.49052631578947353,0.36363636363636365,1.0,,0.0,0.0,83
GraphSAGE,1:1,class_weighting,GNNExplainer,9238,4,0.7377443609022556,0.5,0.0,,1.0,0.0,39
GraphSAGE,1:1,class_weighting,GNNExplainer,9121,3,0.8866165413533833,0.5,0.0,,1.0,0.0,26
GraphSAGE,1:1,class_weighting,GNNExplainer,9405,4,0.7061654135338346,0.5555555555555556,0.0,,1.0,0.0,30
GraphSAGE,1:1,class_weighting,GNNExplainer,8997,3,0.8386466165413532,0.4666666666666667,0.0,,1.0,0.0,32
GraphSAGE,1:1,class_weighting,GNNExplainer,9184,3,0.7257142857142856,0.4375,0.0,,1.0,0.0,35
GraphSAGE,1:1,class_weighting,GNNExplainer,8224,1,0.47187969924812023,0.5476190476190477,0.0,,0.6,0.0,36
GraphSAGE,1:1,class_weighting,GNNExplainer,8333,1,0.814736842105263,0.5238095238095238,0.0,,1.0,0.0,33
GraphSAGE,1:1,class_weighting,GNNExplainer,8937,3,0.8657142857142857,0.5,0.0,,1.0,0.0,38
GraphSAGE,1:1,class_weighting,GNNExplainer,8209,1,0.9384962406015036,0.6590909090909091,0.0,,1.0,0.0,25
GraphSAGE,1:1,class_weighting,GNNExplainer,8803,2,0.9305263157894735,0.25,1.0,,1.0,0.0,17
GraphSAGE,1:1,class_weighting,GNNExplainer,8825,2,0.968421052631579,0.625,1.0,,1.0,0.0,26
GraphSAGE,1:1,class_weighting,GNNExplainer,8687,2,0.8581954887218043,0.375,1.0,,1.0,0.0,30
GraphSAGE,1:1,class_weighting,GNNExplainer,8029,1,0.9520300751879699,0.4090909090909091,0.0,,1.0,0.0,25
GraphSAGE,1:1,class_weighting,GNNExplainer,8556,2,0.9390977443609023,0.5,1.0,,1.0,0.0,25
GraphSAGE,1:1,class_weighting,GNNExplainer,8226,1,0.8470676691729322,0.5238095238095238,0.0,,1.0,0.0,33
GraphSAGE,1:1,class_weighting,GNNExplainer,8604,2,0.8742857142857142,0.5,1.0,,1.0,0.0,20
GraphSAGE,1:1,class_weighting,GNNExplainer,9462,4,0.8941353383458646,0.575,0.0,,1.0,0.0,33
GraphSAGE,1:1,class_weighting,GNNExplainer,8521,2,0.9066165413533833,0.5,1.0,,1.0,0.0,23
GraphSAGE,1:1,class_weighting,GNNExplainer,9442,4,0.9377443609022554,0.3,0.0,,1.0,0.0,30
GraphSAGE,1:1,class_weighting,GNNExplainer,9096,3,0.761954887218045,0.5,0.0,,1.0,0.0,34
GraphSAGE,1:1,class_weighting,GNNExplainer,8647,2,0.925563909774436,0.0,1.0,,1.0,0.0,21
GraphSAGE,1:1,class_weighting,GNNExplainer,8698,2,0.9192481203007518,0.5,1.0,,1.0,0.0,18
GraphSAGE,1:1,class_weighting,PGExplainer,8568,2,,1.0,,,,,17
GraphSAGE,1:1,class_weighting,PGExplainer,8147,1,,0.9705882352941176,,,,,28
GraphSAGE,1:1,class_weighting,PGExplainer,9119,3,,1.0,,,,,27
GraphSAGE,1:1,class_weighting,PGExplainer,8265,1,,0.9473684210526315,,,,,34
GraphSAGE,1:1,class_weighting,PGExplainer,9321,4,,0.9411764705882353,,,,,32
GraphSAGE,1:1,class_weighting,PGExplainer,9008,3,,1.0,,,,,33
GraphSAGE,1:1,class_weighting,PGExplainer,8107,1,,1.0,,,,,83
GraphSAGE,1:1,class_weighting,PGExplainer,8053,1,,0.9772727272727273,,,,,83
GraphSAGE,1:1,class_weighting,PGExplainer,9238,4,,0.9500000000000001,,,,,39
GraphSAGE,1:1,class_weighting,PGExplainer,9121,3,,1.0,,,,,26
GraphSAGE,1:1,class_weighting,PGExplainer,9405,4,,0.9444444444444444,,,,,30
GraphSAGE,1:1,class_weighting,PGExplainer,8997,3,,1.0,,,,,32
GraphSAGE,1:1,class_weighting,PGExplainer,9184,3,,1.0,,,,,35
GraphSAGE,1:1,class_weighting,PGExplainer,8224,1,,0.9523809523809523,,,,,36
GraphSAGE,1:1,class_weighting,PGExplainer,8333,1,,0.9761904761904762,,,,,33
GraphSAGE,1:1,class_weighting,PGExplainer,8937,3,,0.9473684210526315,,,,,38
GraphSAGE,1:1,class_weighting,PGExplainer,8209,1,,0.9772727272727273,,,,,25
GraphSAGE,1:1,class_weighting,PGExplainer,8803,2,,1.0,,,,,17
GraphSAGE,1:1,class_weighting,PGExplainer,8825,2,,0.75,,,,,26
GraphSAGE,1:1,class_weighting,PGExplainer,8687,2,,1.0,,,,,30
GraphSAGE,1:1,class_weighting,PGExplainer,8029,1,,0.9545454545454546,,,,,25
GraphSAGE,1:1,class_weighting,PGExplainer,8556,2,,1.0,,,,,25
GraphSAGE,1:1,class_weighting,PGExplainer,8226,1,,0.9523809523809523,,,,,33
GraphSAGE,1:1,class_weighting,PGExplainer,8604,2,,1.0,,,,,20
GraphSAGE,1:1,class_weighting,PGExplainer,9462,4,,0.9500000000000001,,,,,33
GraphSAGE,1:1,class_weighting,PGExplainer,8521,2,,0.8333333333333334,,,,,23
GraphSAGE,1:1,class_weighting,PGExplainer,9442,4,,0.9500000000000001,,,,,30
GraphSAGE,1:1,class_weighting,PGExplainer,9096,3,,0.9411764705882353,,,,,34
GraphSAGE,1:1,class_weighting,PGExplainer,8647,2,,1.0,,,,,21
GraphSAGE,1:1,class_weighting,PGExplainer,8698,2,,1.0,,,,,18
