architecture,scenario,node,node_typ,spearman,plaus_f1,plaus_prec,plaus_rec,plaus_feat,sub_n_nodes,sub_n_edges
GraphSAGE,1:1,9009,3,0.9333834586466164,0.4666666666666667,0.4666666666666667,0.4666666666666667,1.0,32,62
GraphSAGE,1:1,8147,1,0.9045112781954886,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,28,62
GraphSAGE,1:1,8740,2,0.883609022556391,0.375,0.375,0.375,1.0,23,44
GraphSAGE,1:1,8336,1,0.9018045112781955,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,30,68
GraphSAGE,1:1,8404,2,0.8639097744360902,0.5,0.5,0.5,1.0,25,48
GraphSAGE,1:1,9133,3,0.9106766917293232,0.4666666666666667,0.4666666666666667,0.4666666666666667,1.0,31,60
GraphSAGE,1:1,8107,1,0.4902255639097744,0.41304347826086957,0.41304347826086957,0.41304347826086957,1.0,83,174
GraphSAGE,1:1,8053,1,0.501203007518797,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,83,176
GraphSAGE,1:1,8285,1,0.9009022556390978,0.4230769230769231,0.4230769230769231,0.4230769230769231,1.0,27,60
GraphSAGE,1:1,8346,1,0.6578947368421052,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,35,80
GraphSAGE,1:1,8749,2,0.9210526315789472,0.5,0.5,0.5,1.0,19,36
GraphSAGE,1:1,8900,3,0.6566917293233082,0.29545454545454547,0.29545454545454547,0.29545454545454547,1.0,102,202
GraphSAGE,1:1,8716,2,0.7556390977443609,0.375,0.375,0.375,1.0,23,44
GraphSAGE,1:1,8270,1,0.9261654135338345,0.5,0.5,0.5,1.0,25,58
GraphSAGE,1:1,8635,2,0.9351879699248119,0.75,0.75,0.75,1.0,23,44
GraphSAGE,1:1,8937,3,0.8781954887218044,0.5,0.5,0.5,1.0,38,74
GraphSAGE,1:1,9042,3,0.8842105263157893,0.5,0.5,0.5,1.0,36,70
GraphSAGE,1:1,9405,4,0.77593984962406,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,30,58
GraphSAGE,1:1,9313,4,0.8509774436090225,0.5,0.5,0.5,1.0,32,62
GraphSAGE,1:1,8209,1,0.9275187969924812,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,25,60
GraphSAGE,1:1,8029,1,0.9403007518796992,0.45454545454545453,0.45454545454545453,0.45454545454545453,1.0,25,52
