architecture,scenario,val_pr_auc,n_tp,n_plausible,spearman_mean,plaus_f1_mean,plaus_prec_mean,plaus_rec_mean,plaus_feat_mean,subgraph_n_nodes
GraphSAGE,1:1,0.992,30,30,0.824,0.457,0.457,0.457,0.433,30
GraphSAGE,1:10,0.995,30,30,0.884,0.461,0.461,0.461,0.533,27
GraphSAGE,1:50,0.991,30,30,0.922,0.481,0.481,0.481,0.233,32
GAT,1:1,0.807,30,30,0.969,0.548,0.548,0.548,0.5,28
GAT,1:10,0.828,30,30,0.973,0.565,0.565,0.565,0.667,32
GAT,1:50,0.706,15,15,0.992,0.532,0.532,0.532,0.667,37
GCN,1:1,0.796,30,30,0.976,0.504,0.504,0.504,0.767,30
GCN,1:10,0.8,30,30,0.983,0.51,0.51,0.51,0.433,32
GCN,1:50,0.617,5,5,0.86,0.578,0.578,0.578,0.2,69
TAGCN,1:1,0.988,30,30,0.86,0.474,0.474,0.474,0.4,28
TAGCN,1:10,0.996,30,30,0.88,0.379,0.379,0.379,0.533,27
TAGCN,1:50,0.987,30,30,0.956,0.406,0.406,0.406,0.3,31
