graph_seed,architecture,scenario,balancing,model_seed,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
0,GraphSAGE,1:1,none,42,GNNExplainer,0.992,30,0.825,0.461,0.4,nan,0.62,-0.015,30,
0,GraphSAGE,1:1,none,42,PGExplainer,0.992,30,nan,0.964,nan,nan,0.149,0.139,30,no
0,GraphSAGE,1:1,none,42,GNNShap,0.992,30,0.953,nan,0.2,0.966,0.549,0.365,30,
0,GraphSAGE,1:1,none,43,GNNExplainer,0.991,30,0.843,0.475,0.633,nan,0.752,-0.017,28,
0,GraphSAGE,1:1,none,43,PGExplainer,0.991,30,nan,0.945,nan,nan,0.172,0.23,28,no
0,GraphSAGE,1:1,none,43,GNNShap,0.991,30,0.957,nan,0.2,0.954,0.547,0.394,28,
0,GraphSAGE,1:1,none,44,GNNExplainer,0.992,30,0.859,0.46,0.5,nan,0.583,-0.024,30,
0,GraphSAGE,1:1,none,44,PGExplainer,0.992,30,nan,0.96,nan,nan,0.127,0.119,30,no
0,GraphSAGE,1:1,none,44,GNNShap,0.992,30,0.965,nan,0.2,0.968,0.55,0.388,30,
0,GraphSAGE,1:1,class_weighting,42,GNNExplainer,0.993,30,0.825,0.461,0.4,nan,0.627,-0.015,30,
0,GraphSAGE,1:1,class_weighting,42,PGExplainer,0.993,30,nan,0.964,nan,nan,0.149,0.139,30,no
0,GraphSAGE,1:1,class_weighting,42,GNNShap,0.993,30,0.953,nan,0.2,0.966,0.55,0.365,30,
0,GraphSAGE,1:1,class_weighting,43,GNNExplainer,0.991,30,0.843,0.475,0.633,nan,0.752,-0.017,28,
0,GraphSAGE,1:1,class_weighting,43,PGExplainer,0.991,30,nan,0.945,nan,nan,0.172,0.23,28,no
0,GraphSAGE,1:1,class_weighting,43,GNNShap,0.991,30,0.957,nan,0.2,0.954,0.547,0.394,28,
0,GraphSAGE,1:1,class_weighting,44,GNNExplainer,0.992,30,0.859,0.46,0.5,nan,0.583,-0.024,30,
0,GraphSAGE,1:1,class_weighting,44,PGExplainer,0.992,30,nan,0.96,nan,nan,0.127,0.119,30,no
0,GraphSAGE,1:1,class_weighting,44,GNNShap,0.992,30,0.965,nan,0.2,0.968,0.55,0.388,30,
0,GraphSAGE,1:1,focal_loss,42,GNNExplainer,0.993,30,0.867,0.47,0.567,nan,0.44,-0.083,27,
0,GraphSAGE,1:1,focal_loss,42,PGExplainer,0.993,30,nan,0.891,nan,nan,0.104,0.082,27,no
0,GraphSAGE,1:1,focal_loss,42,GNNShap,0.993,30,0.98,nan,0.1,0.97,0.512,0.225,27,
0,GraphSAGE,1:1,focal_loss,43,GNNExplainer,0.991,30,0.89,0.441,0.333,nan,0.393,-0.059,30,
0,GraphSAGE,1:1,focal_loss,43,PGExplainer,0.991,30,nan,0.931,nan,nan,0.104,0.117,30,no
0,GraphSAGE,1:1,focal_loss,43,GNNShap,0.991,30,0.974,nan,0.167,0.973,0.505,0.252,30,
0,GraphSAGE,1:1,focal_loss,44,GNNExplainer,0.99,30,0.893,0.453,0.3,nan,0.376,-0.059,30,
0,GraphSAGE,1:1,focal_loss,44,PGExplainer,0.99,30,nan,0.936,nan,nan,0.071,0.132,30,no
0,GraphSAGE,1:1,focal_loss,44,GNNShap,0.99,30,0.983,nan,0.1,0.968,0.47,0.272,30,
0,GraphSAGE,1:10,none,42,GNNExplainer,0.995,30,0.884,0.467,0.533,nan,0.772,-0.059,27,
0,GraphSAGE,1:10,none,42,PGExplainer,0.995,30,nan,0.933,nan,nan,0.305,0.266,27,no
0,GraphSAGE,1:10,none,42,GNNShap,0.995,30,0.962,nan,0.133,0.964,0.725,0.316,27,
0,GraphSAGE,1:10,none,43,GNNExplainer,0.996,30,0.887,0.493,0.533,nan,0.813,-0.055,30,
0,GraphSAGE,1:10,none,43,PGExplainer,0.996,30,nan,0.958,nan,nan,0.263,0.298,30,no
