graph_seed,architecture,scenario,balancing,explainer,n_seeds,spearman_mean,spearman_sd,plaus_edge_mean,plaus_edge_sd,plaus_feat_mean,plaus_feat_sd,shap_conc_mean,shap_conc_sd,fid_plus_mean,fid_plus_sd,fid_minus_mean,fid_minus_sd
0,GAT,1:1,class_weighting,GNNExplainer,3,0.9673,0.0086,0.548,0.018,0.2557,0.2502,nan,nan,0.5797,0.0579,-0.1177,0.0851
0,GAT,1:1,class_weighting,GNNShap,3,0.964,0.0121,nan,nan,0.133,0.1,0.9413,0.0087,0.5973,0.1137,0.3263,0.0942
0,GAT,1:1,class_weighting,PGExplainer,3,nan,nan,0.6107,0.2555,nan,nan,nan,nan,0.048,0.2472,0.189,0.4758
0,GAT,1:1,focal_loss,GNNExplainer,3,0.9183,0.0102,0.539,0.0118,0.2887,0.051,nan,nan,0.4513,0.0549,-0.231,0.0296
0,GAT,1:1,focal_loss,GNNShap,3,0.9883,0.004,nan,nan,0.2333,0.1155,0.9427,0.0072,0.223,0.0452,0.1297,0.0218
0,GAT,1:1,focal_loss,PGExplainer,3,nan,nan,0.4553,0.249,nan,nan,nan,nan,-0.1117,0.0344,0.075,0.1639
0,GAT,1:1,none,GNNExplainer,3,0.9663,0.0074,0.5497,0.0156,0.2557,0.2502,nan,nan,0.5977,0.0549,-0.1313,0.0731
0,GAT,1:1,none,GNNShap,3,0.964,0.0121,nan,nan,0.111,0.107,0.9397,0.005,0.5737,0.0767,0.3517,0.1012
0,GAT,1:1,none,PGExplainer,3,nan,nan,0.601,0.2426,nan,nan,nan,nan,0.0307,0.2159,0.1773,0.4834
0,GAT,1:10,class_weighting,GNNExplainer,3,0.9697,0.0025,0.5347,0.01,0.4557,0.1019,nan,nan,0.6173,0.1172,-0.105,0.036
0,GAT,1:10,class_weighting,GNNShap,3,0.9613,0.0145,nan,nan,0.1667,0.0577,0.9573,0.0047,0.6113,0.1355,0.3317,0.0497
0,GAT,1:10,class_weighting,PGExplainer,3,nan,nan,0.6583,0.1297,nan,nan,nan,nan,0.101,0.2281,0.0783,0.2606
0,GAT,1:10,focal_loss,GNNExplainer,3,0.9143,0.0115,0.5567,0.0047,0.222,0.084,nan,nan,0.4173,0.0222,-0.2703,0.0446
0,GAT,1:10,focal_loss,GNNShap,3,0.9887,0.0051,nan,nan,0.1667,0.0884,0.9583,0.0061,0.235,0.051,0.1493,0.0093
0,GAT,1:10,focal_loss,PGExplainer,3,nan,nan,0.5487,0.1946,nan,nan,nan,nan,0.0717,0.1184,-0.085,0.2274
0,GAT,1:10,none,GNNExplainer,3,0.9763,0.0049,0.5463,0.0167,0.4777,0.1714,nan,nan,0.6033,0.0467,-0.136,0.028
0,GAT,1:10,none,GNNShap,3,0.9577,0.0137,nan,nan,0.1667,0.0665,0.9493,0.017,0.5807,0.0869,0.3587,0.1024
0,GAT,1:10,none,PGExplainer,3,nan,nan,0.6567,0.1947,nan,nan,nan,nan,0.0767,0.2711,0.15,0.4064
0,GAT,1:100,class_weighting,GNNExplainer,3,0.9797,0.0067,0.5363,0.0111,0.589,0.3241,nan,nan,0.62,0.0537,-0.0973,0.0897
0,GAT,1:100,class_weighting,GNNShap,3,0.969,0.0052,nan,nan,0.3,0.2184,0.8987,0.0169,0.363,0.1665,0.649,0.1047
0,GAT,1:100,class_weighting,PGExplainer,3,nan,nan,0.7607,0.0533,nan,nan,nan,nan,0.19,0.2959,-0.045,0.1172
0,GAT,1:100,focal_loss,GNNExplainer,3,0.9513,0.0076,0.5257,0.005,0.5443,0.395,nan,nan,0.2953,0.0624,-0.2133,0.049
0,GAT,1:100,focal_loss,GNNShap,3,0.9843,0.0099,nan,nan,0.2167,0.2021,0.913,0.0072,0.252,0.0613,0.2273,0.0492
0,GAT,1:100,focal_loss,PGExplainer,3,nan,nan,0.8483,0.0333,nan,nan,nan,nan,-0.0063,0.0734,-0.164,0.0777
0,GAT,1:100,none,GNNExplainer,3,0.9857,0.006,0.5273,0.0032,0.811,0.2009,nan,nan,0.555,0.0302,-0.25,0.0892
0,GAT,1:100,none,GNNShap,3,0.9867,0.007,nan,nan,0.1667,0.2887,0.8997,0.0116,0.444,0.2623,0.5393,0.0325
0,GAT,1:100,none,PGExplainer,3,nan,nan,0.849,0.0706,nan,nan,nan,nan,0.555,0.0692,-0.033,0.4842
0,GAT,1:50,class_weighting,GNNExplainer,3,0.9713,0.006,0.519,0.0263,0.533,0.1,nan,nan,0.649,0.0766,-0.109,0.0849
0,GAT,1:50,class_weighting,GNNShap,3,0.9637,0.0078,nan,nan,0.2,0.033,0.9023,0.0246,0.397,0.0857,0.6307,0.0146
0,GAT,1:50,class_weighting,PGExplainer,3,nan,nan,0.7777,0.0369,nan,nan,nan,nan,0.1933,0.1333,-0.0983,0.0711
0,GAT,1:50,focal_loss,GNNExplainer,3,0.945,0.0079,0.5383,0.0136,0.0877,0.0971,nan,nan,0.2797,0.0315,-0.2127,0.0358
0,GAT,1:50,focal_loss,GNNShap,3,0.989,0.0061,nan,nan,0.1433,0.0105,0.9297,0.0119,0.2367,0.0494,0.1977,0.0446
0,GAT,1:50,focal_loss,PGExplainer,3,nan,nan,0.7373,0.1357,nan,nan,nan,nan,0.0757,0.1523,0.002,0.3257
0,GAT,1:50,none,GNNExplainer,3,0.9883,0.0035,0.5367,0.0057,0.4933,0.1537,nan,nan,0.4993,0.0702,-0.2087,0.1187
0,GAT,1:50,none,GNNShap,3,0.9823,0.0117,nan,nan,0.15,0.0433,0.9063,0.0139,0.5173,0.0023,0.4727,0.0377
0,GAT,1:50,none,PGExplainer,3,nan,nan,0.858,0.0495,nan,nan,nan,nan,0.2623,0.3012,-0.1477,0.0311
0,GAT,natural,class_weighting,GNNExplainer,3,0.969,0.0017,0.5313,0.0055,0.489,0.107,nan,nan,0.6133,0.1141,-0.1083,0.0311
0,GAT,natural,class_weighting,GNNShap,3,0.9613,0.0145,nan,nan,0.1777,0.0387,0.9563,0.0045,0.5967,0.1146,0.3417,0.0336
0,GAT,natural,class_weighting,PGExplainer,3,nan,nan,0.65,0.1242,nan,nan,nan,nan,0.115,0.2496,0.07,0.2663
0,GAT,natural,focal_loss,GNNExplainer,3,0.9143,0.0115,0.5567,0.0047,0.222,0.084,nan,nan,0.4173,0.0222,-0.2703,0.0446
0,GAT,natural,focal_loss,GNNShap,3,0.9887,0.0051,nan,nan,0.1667,0.0884,0.9583,0.0061,0.235,0.051,0.1493,0.0093
0,GAT,natural,focal_loss,PGExplainer,3,nan,nan,0.5487,0.1946,nan,nan,nan,nan,0.0717,0.1184,-0.085,0.2274
0,GAT,natural,none,GNNExplainer,3,0.9763,0.0049,0.5533,0.012,0.5333,0.1767,nan,nan,0.628,0.0529,-0.122,0.014
0,GAT,natural,none,GNNShap,3,0.9607,0.0085,nan,nan,0.1443,0.1019,0.9513,0.0202,0.5627,0.058,0.376,0.0737
0,GAT,natural,none,PGExplainer,3,nan,nan,0.679,0.2123,nan,nan,nan,nan,0.1057,0.316,0.155,0.4006
0,GCN,1:1,class_weighting,GNNExplainer,3,0.972,0.0069,0.4993,0.0072,0.7557,0.051,nan,nan,0.5283,0.0597,-0.0533,0.009
0,GCN,1:1,class_weighting,GNNShap,3,0.9847,0.0006,nan,nan,0.2113,0.051,0.9563,0.0042,0.6223,0.0659,0.257,0.042
0,GCN,1:1,class_weighting,PGExplainer,3,nan,nan,0.7923,0.0229,nan,nan,nan,nan,0.0603,0.0466,-0.044,0.019
0,GCN,1:1,focal_loss,GNNExplainer,3,0.9563,0.0015,0.5387,0.0422,0.8,0.033,nan,nan,0.5207,0.0734,-0.16,0.0223
0,GCN,1:1,focal_loss,GNNShap,3,0.9913,0.0015,nan,nan,0.111,0.0191,0.959,0.0087,0.3957,0.035,0.1723,0.0196
0,GCN,1:1,focal_loss,PGExplainer,3,nan,nan,0.3127,0.0866,nan,nan,nan,nan,-0.112,0.0214,0.324,0.1136
0,GCN,1:1,none,GNNExplainer,3,0.972,0.0069,0.4993,0.0072,0.7557,0.051,nan,nan,0.5233,0.0535,-0.053,0.0095
0,GCN,1:1,none,GNNShap,3,0.985,0.001,nan,nan,0.2113,0.051,0.9563,0.0042,0.6137,0.0579,0.2603,0.0439
0,GCN,1:1,none,PGExplainer,3,nan,nan,0.7923,0.0229,nan,nan,nan,nan,0.0603,0.0466,-0.044,0.019
0,GCN,1:10,class_weighting,GNNExplainer,3,0.9793,0.0064,0.5,0.0046,0.633,0.1732,nan,nan,0.5457,0.0454,-0.0373,0.0589
0,GCN,1:10,class_weighting,GNNShap,3,0.9873,0.0021,nan,nan,0.122,0.0191,0.9657,0.0021,0.601,0.0363,0.328,0.0296
0,GCN,1:10,class_weighting,PGExplainer,3,nan,nan,0.8003,0.0385,nan,nan,nan,nan,0.18,0.0618,-0.0627,0.0378
0,GCN,1:10,focal_loss,GNNExplainer,3,0.9507,0.0096,0.494,0.0159,0.822,0.0191,nan,nan,0.3957,0.0599,-0.1937,0.0361
0,GCN,1:10,focal_loss,GNNShap,3,0.9963,0.0006,nan,nan,0.1663,0.0577,0.9657,0.0021,0.491,0.0489,0.1097,0.0457
0,GCN,1:10,focal_loss,PGExplainer,3,nan,nan,0.7803,0.0163,nan,nan,nan,nan,0.0787,0.0371,-0.1943,0.0031
0,GCN,1:10,none,GNNExplainer,3,0.9793,0.0064,0.5223,0.0108,0.633,0.2646,nan,nan,0.547,0.0662,-0.0713,0.0115
0,GCN,1:10,none,GNNShap,3,0.991,0.001,nan,nan,0.0997,0.0577,0.963,0.0036,0.761,0.0481,0.2193,0.0404
0,GCN,1:10,none,PGExplainer,3,nan,nan,0.8283,0.0337,nan,nan,nan,nan,0.2113,0.0795,-0.092,0.0125
0,GCN,1:100,class_weighting,GNNExplainer,3,0.973,0.0026,0.5083,0.0251,0.689,0.0697,nan,nan,0.5787,0.0781,-0.0617,0.023
0,GCN,1:100,class_weighting,GNNShap,3,0.985,0.0026,nan,nan,0.1557,0.0196,0.9183,0.0025,0.485,0.0101,0.4377,0.024
0,GCN,1:100,class_weighting,PGExplainer,3,nan,nan,0.806,0.0271,nan,nan,nan,nan,0.1973,0.076,-0.0257,0.0395
0,GCN,1:100,focal_loss,GNNExplainer,3,0.9767,0.0083,0.5937,0.0074,0.1657,0.0302,nan,nan,0.571,0.0348,-0.3687,0.0321
0,GCN,1:100,focal_loss,GNNShap,3,0.9903,0.0015,nan,nan,0.1433,0.0105,0.968,0.002,0.3993,0.1279,0.0223,0.0202
0,GCN,1:100,focal_loss,PGExplainer,3,nan,nan,0.6647,0.0049,nan,nan,nan,nan,0.2773,0.1096,-0.2107,0.0639
0,GCN,1:100,none,GNNExplainer,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,GCN,1:100,none,GNNShap,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,GCN,1:100,none,PGExplainer,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,GCN,1:50,class_weighting,GNNExplainer,3,0.975,0.0053,0.4903,0.0235,0.8887,0.051,nan,nan,0.5943,0.0899,-0.0427,0.0092
0,GCN,1:50,class_weighting,GNNShap,3,0.985,0.0017,nan,nan,0.189,0.0697,0.932,0.0026,0.5193,0.0465,0.387,0.0596
0,GCN,1:50,class_weighting,PGExplainer,3,nan,nan,0.8127,0.0049,nan,nan,nan,nan,0.138,0.0411,0.019,0.0236
0,GCN,1:50,focal_loss,GNNExplainer,3,0.9757,0.0065,0.558,0.0144,0.3777,0.1385,nan,nan,0.5877,0.0331,-0.2673,0.029
0,GCN,1:50,focal_loss,GNNShap,3,0.9947,0.0015,nan,nan,0.189,0.0191,0.9443,0.0032,0.487,0.0219,0.1147,0.0182
0,GCN,1:50,focal_loss,PGExplainer,3,nan,nan,0.759,0.0378,nan,nan,nan,nan,0.244,0.0113,-0.1693,0.011
0,GCN,1:50,none,GNNExplainer,3,0.8883,0.0354,0.6163,0.0371,0.0667,0.1155,nan,nan,0.6317,0.0821,-0.2077,0.0317
0,GCN,1:50,none,GNNShap,3,0.9867,0.0012,nan,nan,0.0667,0.1155,0.966,0.0154,-0.0547,0.1945,0.258,0.0962
0,GCN,1:50,none,PGExplainer,3,nan,nan,0.5287,0.1017,nan,nan,nan,nan,-0.1253,0.1094,0.533,0.1833
0,GCN,natural,class_weighting,GNNExplainer,3,0.979,0.007,0.4973,0.0086,0.633,0.1732,nan,nan,0.542,0.0495,-0.0377,0.0595
0,GCN,natural,class_weighting,GNNShap,3,0.9873,0.0021,nan,nan,0.122,0.0191,0.9657,0.0021,0.601,0.0363,0.328,0.0296
0,GCN,natural,class_weighting,PGExplainer,3,nan,nan,0.8017,0.0365,nan,nan,nan,nan,0.18,0.0618,-0.063,0.0383
0,GCN,natural,focal_loss,GNNExplainer,3,0.9513,0.0101,0.4887,0.023,0.7777,0.0693,nan,nan,0.396,0.0594,-0.1853,0.0353
0,GCN,natural,focal_loss,GNNShap,3,0.9957,0.0006,nan,nan,0.1443,0.051,0.9663,0.0021,0.5193,0.0437,0.0797,0.0086
0,GCN,natural,focal_loss,PGExplainer,3,nan,nan,0.7693,0.0325,nan,nan,nan,nan,0.0983,0.0709,-0.188,0.0139
0,GCN,natural,none,GNNExplainer,3,0.9797,0.0058,0.5223,0.0108,0.633,0.2646,nan,nan,0.547,0.0662,-0.071,0.011
0,GCN,natural,none,GNNShap,3,0.9917,0.0006,nan,nan,0.0997,0.0577,0.963,0.0036,0.761,0.0481,0.219,0.041
