graph_seed,architecture,scenario,balancing,model_seed,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
1,GraphSAGE,1:1,none,42,GNNExplainer,0.978,30,0.842,0.473,0.4,nan,0.56,-0.004,29,
1,GraphSAGE,1:1,none,42,PGExplainer,0.978,30,nan,0.943,nan,nan,0.086,0.21,29,no
1,GraphSAGE,1:1,none,42,GNNShap,0.978,30,0.96,nan,0.167,0.95,0.424,0.486,29,
1,GraphSAGE,1:1,none,43,GNNExplainer,0.976,30,0.847,0.495,0.433,nan,0.563,-0.001,29,
1,GraphSAGE,1:1,none,43,PGExplainer,0.976,30,nan,0.841,nan,nan,0.045,0.225,29,no
1,GraphSAGE,1:1,none,43,GNNShap,0.976,30,0.961,nan,0.133,0.953,0.501,0.41,29,
1,GraphSAGE,1:1,none,44,GNNExplainer,0.977,30,0.863,0.5,0.467,nan,0.531,-0.003,26,
1,GraphSAGE,1:1,none,44,PGExplainer,0.977,30,nan,0.831,nan,nan,0.114,0.257,26,no
1,GraphSAGE,1:1,none,44,GNNShap,0.977,30,0.967,nan,0.167,0.944,0.521,0.377,26,
1,GraphSAGE,natural,none,42,GNNExplainer,0.99,30,0.896,0.519,0.567,nan,0.802,-0.029,30,
1,GraphSAGE,natural,none,42,PGExplainer,0.99,30,nan,0.949,nan,nan,0.207,0.33,30,no
1,GraphSAGE,natural,none,42,GNNShap,0.99,30,0.968,nan,0.2,0.951,0.549,0.511,30,
1,GraphSAGE,natural,none,43,GNNExplainer,0.989,30,0.908,0.551,0.567,nan,0.801,-0.023,30,
1,GraphSAGE,natural,none,43,PGExplainer,0.989,30,nan,0.943,nan,nan,0.238,0.343,30,no
1,GraphSAGE,natural,none,43,GNNShap,0.989,30,0.966,nan,0.333,0.956,0.556,0.438,30,
1,GraphSAGE,natural,none,44,GNNExplainer,0.988,30,0.888,0.558,0.467,nan,0.754,-0.006,29,
1,GraphSAGE,natural,none,44,PGExplainer,0.988,30,nan,0.927,nan,nan,0.189,0.325,29,no
1,GraphSAGE,natural,none,44,GNNShap,0.988,30,0.968,nan,0.267,0.959,0.521,0.515,29,
1,GAT,1:1,none,42,GNNExplainer,0.75,30,0.977,0.539,0.5,nan,0.495,-0.058,32,
1,GAT,1:1,none,42,PGExplainer,0.75,30,nan,0.402,nan,nan,-0.125,0.674,32,no
1,GAT,1:1,none,42,GNNShap,0.75,30,0.964,nan,0.2,0.925,0.469,0.425,32,
1,GAT,1:1,none,43,GNNExplainer,0.698,30,0.97,0.569,0.033,nan,0.62,-0.179,30,
1,GAT,1:1,none,43,PGExplainer,0.698,30,nan,0.406,nan,nan,0.009,0.27,30,no
1,GAT,1:1,none,43,GNNShap,0.698,30,0.976,nan,0.1,0.933,0.382,0.386,30,
1,GAT,1:1,none,44,GNNExplainer,0.765,30,0.985,0.552,0.267,nan,0.67,-0.093,31,
1,GAT,1:1,none,44,PGExplainer,0.765,30,nan,0.827,nan,nan,0.271,-0.047,31,no
1,GAT,1:1,none,44,GNNShap,0.765,30,0.97,nan,0.2,0.932,0.459,0.572,31,
1,GAT,natural,none,42,GNNExplainer,0.798,30,0.981,0.531,0.5,nan,0.599,-0.105,33,
1,GAT,natural,none,42,PGExplainer,0.798,30,nan,0.378,nan,nan,-0.159,0.575,33,no
1,GAT,natural,none,42,GNNShap,0.798,30,0.969,nan,0.167,0.949,0.415,0.427,33,
1,GAT,natural,none,43,GNNExplainer,0.866,30,0.979,0.502,0.433,nan,0.624,-0.114,32,
1,GAT,natural,none,43,PGExplainer,0.866,30,nan,0.752,nan,nan,0.207,0.154,32,no
1,GAT,natural,none,43,GNNShap,0.866,30,0.969,nan,0.367,0.954,0.451,0.462,32,
1,GAT,natural,none,44,GNNExplainer,0.842,30,0.984,0.559,0.433,nan,0.637,-0.212,33,
1,GAT,natural,none,44,PGExplainer,0.842,30,nan,0.831,nan,nan,0.365,-0.122,33,no
1,GAT,natural,none,44,GNNShap,0.842,30,0.952,nan,0.167,0.949,0.551,0.405,33,
1,GCN,1:1,none,42,GNNExplainer,0.808,30,0.976,0.523,0.767,nan,0.322,0.0,32,
1,GCN,1:1,none,42,PGExplainer,0.808,30,nan,0.536,nan,nan,-0.046,0.219,32,no
1,GCN,1:1,none,42,GNNShap,0.808,30,0.982,nan,0.033,0.962,0.637,0.24,32,
1,GCN,1:1,none,43,GNNExplainer,0.821,30,0.98,0.495,0.567,nan,0.525,0.008,29,
1,GCN,1:1,none,43,PGExplainer,0.821,30,nan,0.583,nan,nan,-0.054,0.042,29,no
1,GCN,1:1,none,43,GNNShap,0.821,30,0.988,nan,0.067,0.965,0.656,0.229,29,
1,GCN,1:1,none,44,GNNExplainer,0.826,30,0.979,0.498,0.633,nan,0.528,0.012,29,
1,GCN,1:1,none,44,PGExplainer,0.826,30,nan,0.577,nan,nan,-0.032,-0.021,29,no
1,GCN,1:1,none,44,GNNShap,0.826,30,0.982,nan,0.133,0.961,0.63,0.276,29,
1,GCN,natural,none,42,GNNExplainer,0.799,30,0.984,0.535,0.467,nan,0.606,-0.113,32,
1,GCN,natural,none,42,PGExplainer,0.799,30,nan,0.785,nan,nan,0.143,-0.099,32,no
1,GCN,natural,none,42,GNNShap,0.799,30,0.986,nan,0.167,0.975,0.713,0.247,32,
1,GCN,natural,none,43,GNNExplainer,0.782,30,0.983,0.526,0.467,nan,0.59,-0.085,32,
1,GCN,natural,none,43,PGExplainer,0.782,30,nan,0.825,nan,nan,0.157,-0.114,32,no
1,GCN,natural,none,43,GNNShap,0.782,30,0.988,nan,0.2,0.973,0.648,0.294,32,
1,GCN,natural,none,44,GNNExplainer,0.781,30,0.98,0.522,0.7,nan,0.552,-0.115,29,
1,GCN,natural,none,44,PGExplainer,0.781,30,nan,0.859,nan,nan,0.145,-0.128,29,no
1,GCN,natural,none,44,GNNShap,0.781,30,0.992,nan,0.2,0.973,0.637,0.325,29,
1,TAGCN,1:1,none,42,GNNExplainer,0.973,30,0.873,0.53,0.533,nan,0.619,0.052,31,
1,TAGCN,1:1,none,42,PGExplainer,0.973,30,nan,0.941,nan,nan,0.174,0.143,31,no
1,TAGCN,1:1,none,42,GNNShap,0.973,30,0.968,nan,0.033,0.955,0.381,0.5,31,
1,TAGCN,1:1,none,43,GNNExplainer,0.975,30,0.885,0.534,0.433,nan,0.636,0.058,31,
1,TAGCN,1:1,none,43,PGExplainer,0.975,30,nan,0.723,nan,nan,0.171,0.195,31,no
1,TAGCN,1:1,none,43,GNNShap,0.975,30,0.968,nan,0.033,0.948,0.352,0.483,31,
1,TAGCN,1:1,none,44,GNNExplainer,0.971,30,0.88,0.569,0.533,nan,0.606,0.001,26,
1,TAGCN,1:1,none,44,PGExplainer,0.971,30,nan,0.789,nan,nan,0.109,0.146,26,no
1,TAGCN,1:1,none,44,GNNShap,0.971,30,0.958,nan,0.133,0.951,0.399,0.379,26,
1,TAGCN,natural,none,42,GNNExplainer,0.988,30,0.893,0.503,0.4,nan,0.627,-0.041,29,
1,TAGCN,natural,none,42,PGExplainer,0.988,30,nan,0.896,nan,nan,0.171,0.127,29,no
1,TAGCN,natural,none,42,GNNShap,0.988,30,0.966,nan,0.2,0.964,0.282,0.46,29,
1,TAGCN,natural,none,43,GNNExplainer,0.989,30,0.909,0.517,0.433,nan,0.727,-0.07,27,
1,TAGCN,natural,none,43,PGExplainer,0.989,30,nan,0.909,nan,nan,0.171,0.181,27,no
1,TAGCN,natural,none,43,GNNShap,0.989,30,0.97,nan,0.167,0.958,0.42,0.335,27,
1,TAGCN,natural,none,44,GNNExplainer,0.987,30,0.903,0.45,0.467,nan,0.704,-0.032,29,
1,TAGCN,natural,none,44,PGExplainer,0.987,30,nan,0.896,nan,nan,0.143,0.151,29,no
