explainer,metric,architecture,mean,ci_lo,ci_hi,n,n_seeds
GNNExplainer,Spearman (features),GraphSAGE,0.7354646119760843,0.7112118479997512,0.7597173759524173,42,3
GNNExplainer,Spearman (features),GAT,0.7818590127041039,0.7576105100453556,0.8061075153628521,45,3
GNNExplainer,Spearman (features),GCN,0.7579511728330417,0.7249942012952133,0.7909081443708701,44,3
GNNExplainer,Spearman (features),TAGCN,0.6761112822253628,0.631835082764841,0.7203874816858845,40,3
GNNShap,Spearman (features),GraphSAGE,0.950280558515574,0.9419906030286004,0.9585705140025477,33,3
GNNShap,Spearman (features),GAT,0.9683922108871814,,,7,1
GNNShap,Spearman (features),GCN,0.9709963629561892,0.9635823811166624,0.978410344795716,4,3
GNNShap,Spearman (features),TAGCN,0.9669501967467508,,,4,1
PGExplainer,Jaccard (aristas),GraphSAGE,0.9950290178438981,0.9910189612701618,0.9990390744176344,33,3
PGExplainer,Jaccard (aristas),GAT,1.0,,,5,1
PGExplainer,Jaccard (aristas),GCN,0.9944285103966477,0.9766975438935324,1.012159476899763,4,3
PGExplainer,Jaccard (aristas),TAGCN,0.9868469530784596,,,4,1
reeval42/val,roc_auc,TODAS,0.8837065036176474,0.8681569928307398,0.8992560144045549,23,1
reeval42/val,pr_auc_trap,TODAS,0.36649050202443073,0.3185736944063579,0.41440730964250355,23,1
reeval42/val,prec_at_50,TODAS,0.6573913043478261,0.5539913815534921,0.7607912271421601,23,1
reeval42/test,roc_auc,TODAS,0.6525947070712761,0.6082150700308602,0.696974344111692,23,1
reeval42/test,pr_auc_trap,TODAS,0.016069369197697733,0.011540598597251952,0.020598139798143515,23,1
reeval42/test,prec_at_50,TODAS,0.02,-0.003899650489425914,0.043899650489425915,23,1
