run_id,scenario,architecture,balancing,seed,quality_passed,split,n_pos,roc_auc,pr_auc_ap,pr_auc_trap,prec_at_50,prec_at_100,prec_at_npos
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,914,0.8959088108179619,0.35532043293389853,0.3546793632151894,0.78,0.63,0.3949671772428884
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,169,0.5800195703427229,0.01738013592113648,0.017105885913360062,0.02,0.02,0.029585798816568046
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,914,0.8092558830874544,0.19567815339582426,0.19485070692628131,0.32,0.34,0.29321663019693656
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,test,169,0.5571569278524366,0.01520907217599549,0.01383704250449412,0.08,0.06,0.047337278106508875
1:100_GAT_none,1:100,GAT,none,42,False,val,914,0.5476639210018245,0.03296886661866569,0.03288570080391892,0.0,0.0,0.024070021881838075
1:100_GAT_none,1:100,GAT,none,42,False,test,169,0.4571241991173019,0.0060536883269517155,0.006000243958904259,0.0,0.0,0.0
1:100_GCN_class_weighting,1:100,GCN,class_weighting,42,False,val,914,0.8131867846809684,0.2054938447598954,0.20455002951399556,0.48,0.46,0.2888402625820569
1:100_GCN_class_weighting,1:100,GCN,class_weighting,42,False,test,169,0.5127231671329396,0.007854826529863499,0.007711837236285335,0.0,0.0,0.0
1:100_GCN_class_weighting_s43,1:100,GCN,class_weighting,43,True,val,914,0.8162942383643323,0.24289260107965852,0.24191845247275684,0.5,0.52,0.3293216630196937
1:100_GCN_class_weighting_s43,1:100,GCN,class_weighting,43,True,test,169,0.5153342615051667,0.008192607330178708,0.007908640687619376,0.02,0.02,0.011834319526627219
1:100_GCN_class_weighting_s44,1:100,GCN,class_weighting,44,True,val,914,0.8372668486104912,0.23275304190727228,0.23174598433181445,0.6,0.55,0.2975929978118162
1:100_GCN_class_weighting_s44,1:100,GCN,class_weighting,44,True,test,169,0.5044324021682273,0.009340720488211673,0.009081471611885699,0.0,0.01,0.01775147928994083
1:100_GCN_focal_loss,1:100,GCN,focal_loss,42,False,val,914,0.6540164574815771,0.10818438590536388,0.10739783127909593,0.62,0.44,0.15645514223194748
1:100_GCN_focal_loss,1:100,GCN,focal_loss,42,False,test,169,0.5787165961703777,0.008185096862894762,0.008051081203339139,0.0,0.0,0.011834319526627219
